,Synonym_1,Synonym_2,Weird_Category,Synonym_3,Synonym_4,Pos_Tags,Pos_And_Words
120,abortering..2,abortera..2,PRIM..1,abortering..nn.1,abortering,nn,nn_2u_mening
121,abortfråga..1,fråga..3,abort..1,abortfråga..nn.1,abortfråga,nn,nn_1u_olja
122,abortiv..1,abort..1,PRIM..1,abortiv..av.1,abortiv,av,av_0_medelstor
123,abortiv..2,ofullgången..1,sjukdom..1,abortiv..av.1,abortiv,av,av_0_medelstor
124,abortmotstånd..1,abort..1,mot..1,abortmotstånd..nn.1,abortmotstånd,nn,nn_6n_departement
125,abortmotståndare..1,abortmotstånd..1,PRIM..1,abortmotståndare..nn.1,abortmotståndare,nn,nn_6u_kikare
126,abortpiller..1,piller..1,abort..1,abortpiller..nn.1,abortpiller,nn,nn_6n_foder
127,abortrådgivning..1,rådgivning..1,abort..1,abortrådgivning..nn.1,abortrådgivning,nn,nn_0u_boskap
128,abortrådgivning..2,inrättning..1,abortrådgivning..1,abortrådgivning..nn.2,abortrådgivning,nn,nn_2u_mening
129,aborträtt..1,rätt..2,abort..1,aborträtt..nn.1,aborträtt,nn,nn_3u_salong
130,abortör..1,abort..1,PRIM..1,abortör..nn.1,abortör,nn,nn_3u_tid
131,abradera..1,bryta_ned..1,PRIM..1,abradera..vb.1,abradera,vb,vb_1a_beundra
132,abradera..2,abradera..1,bli..1,abradera..vb.1,abradera,vb,vb_1a_beundra
133,abraderande..1,abradera..1,PRIM..1,abraderande..nn.1,abraderande,nn,nn_5n_saldo
134,abraderbar..1,abradera..1,möjlig..1,abraderbar..av.1,abraderbar,av,av_1_gul
135,abraderbarhet..1,abraderbar..1,PRIM..1,abraderbarhet..nn.1,abraderbarhet,nn,nn_0u_boskap
136,abradering..1,abradera..1,PRIM..1,abradering..nn.1,abradering,nn,nn_2u_mening
137,Abraham..1,förnamn..1,Bibeln..1 han..1 Lincoln..1 patriark..1,Abraham..pm.1,Abraham,pm,pm_mph_bo
138,Abrahamsson..1,efternamn..1,PRIM..1,Abrahamsson..pm.1,Abrahamsson,pm,pm_hph_svensson
